UniRef50_Q96AZ6	A0A024RC76; K7CFV6; Q96AZ6; G3R4B5
UniRef50_E5RIV1	E5RIM2; E5RIV1
UniRef50_Q53GL7	E9PJI2; E9PQQ6; B4E0C4; A2RUM0; E9PSE7; E9PPV8; Q53GL7; E9PM86; E9PK67; E9PNI7; E9PLE8; E9PPU2; E9PIA6; E9PSG8
UniRef50_E9PRW2	E9PRW2
UniRef50_A0A087WXE2	A0A087WXE2
UniRef50_Q9Y2C5	A0A024R013; Q9Y2C5; UPI0005D02867; Q9Y2C5-2
UniRef50_A0A061IP14	UPI00062633B2; B7Z3A8; Q9BYT9-2; UPI0004F3F93F; UPI0005F3AD37; E9PQ79; UPI000387B6AD
UniRef50_Q86WT6-2	Q86WT6-4; H0YKB8
UniRef50_P78371	V9HW96; G7PI08; F7GQC0; A0A0D9QW25; P78371-2; G2HH56; A0A096MQV2; F5GWF6; P78371; H2NI08; Q4R6F8; UPI0000D9CD7E; Q9H369; G7N7M2
UniRef50_P07560	Q6FIG4; Q92928
UniRef50_A0A091K5F8	A8K9E2
UniRef50_Q86VI4	Q86SJ0; Q86VI4-3; Q86VI4; Q86VI4-2; I7GKM1; G2HJT3
UniRef50_Q9P179	Q9P179
UniRef50_C9JGR9	C9JGR9; Q9Y2I8-3; A0A087WTQ2; E7EQ49
UniRef50_Q9ULJ1	UPI0005D01886; UPI0005CFF24D; E9PNP0; B4DZ83; H0YF19; Q9ULJ1
UniRef50_UPI000041FAD7	
UniRef50_O95659	O95659
UniRef50_H7C1W6	H7C2W0; H7C1W6
UniRef50_H0YER0	H0YER0
UniRef50_Q5ZMV7	
UniRef50_Q99518	A0A024R934; B4E2Q9; Q5JPC7; Q01740; UPI0004E547A6; Q5QPT3; A0A0D9SG76; G3R0K3; UPI00005A8BBB; Q8HZ69; Q8HZ70; UPI0005121CEF; Q99518; UPI000512116A; B2RCG5; UPI0000ED9123; UPI0003EAF806; B2R781
UniRef50_A0A087SYR4	Q9BZT2
UniRef50_Q99706-5	A0A0G2JQ39; A0A0G2JMF5; Q32WE1; Q5IHW5; A0A0G2JLM0; Q5IHW9; E0X069; Q4KN23; Q32WE0; Q5IH87; A0A0G2JNG7; A0A0B4J1S6; Q96L49; A0A0G2JP28; Q8NHK1; A0A0G2JNK6; C3VNC9; K7RE46
UniRef50_A0A0A0MS36	A0A0A0MS36
UniRef50_F7ELG4	
UniRef50_C9JKX8	C9JKX8
UniRef50_M4A0S3	
UniRef50_F8VPI5	F8VPI5
UniRef50_Q9H069	J3KRB8; B3KSC6; UPI0005D0285E; J3QRC9; J3QS14; J3QSG4; UPI0005CFFCF7; UPI0003EAF996; J3QRH8; Q9H069
UniRef50_P16284	A0A075B727; P16284; A0A075B738; A0A075B737
UniRef50_W4XN41	B3KPW6; B4DYL7
UniRef50_Q53HV7-2	D6RI04; H0YA95
UniRef50_H3CQ72	
UniRef50_F7GQ45	UPI00005A52DB; G3RVW3; C9JLI6; G5AWB0; H0YMV8; G3SGS1
UniRef50_Q8C208-3	F8VPL6
UniRef50_Q8NAB3	Q8NAB3
UniRef50_B5MCZ3	B5MCZ3
UniRef50_Q8TCY0	Q8TCY0
UniRef50_F6ZXB3	J3QL92
UniRef50_Q4W252	Q4W252
UniRef50_H8Y0Y3	H8Y0Y3
UniRef50_O88286-2	
UniRef50_A0A087X059	A0A087X059
UniRef50_L0EQ52	L0EQ52; L0ENG6; L0EQX3; L0EPV7; L0ENF7; L0EPY0; L0EPW3; L0ERB4; L0EQ92; L0EQP9; L0EQU5; L0EQQ9; L0ENG9; L0EQ03; L0EQP1
UniRef50_Q96T55-4	
UniRef50_E9PIF9	E9PIF9
UniRef50_S4R3D8	S4R3D8
UniRef50_Q8NB19	Q8NB19
UniRef50_D6RCP6	D6RCP6
UniRef50_Q7L8A9-2	
UniRef50_Q401C4	H7C4H7
UniRef50_E9PLU9	E9PLU9; G5C0K7
UniRef50_Q96B97	Q5JPT2; B7Z6E8; UPI000387DEBA; Q96B97; Q5JPT6
UniRef50_K7BD65	
UniRef50_UPI0005CFF82B	
UniRef50_P04899	UPI0000E5A681; A0A087WTB6; I7A149; G3HIJ1; UPI0003E6116E; H2QMN4; H2PAP6; G3QE25; P09471-2; H9FAQ6; H2PZK9; UPI0002C56D42; F7GQC5; Q28946; F7GK45; G1QRM5; Q96C71; F6VL43; L9KTC1; E2RLG2; G7NPB9; A0A096NIG5; A0A0D9QYM7; A0A096NWS6; M3YNV7; UPI0005ABF398; P08754; G1R5L7; Q6LCB5; Q93020; H2N6H9; UPI000214A78E; A0A0A6YXN0; Q06AS6; P04899; G7NW34; H3BN82; M3XWF8; F7DWN5; UPI0005F45A5E; F6ZUY5; P09471; B3KP89; P04899-6; H9FAQ5; L5KUM4; U6DN94; H2QB45; D2HET1; T0NMW3; A0A061IFQ9; A0A0D9RPC3; F7HNP2; G1MDW1; UPI00063CAAB4
UniRef50_Q8N7N1	H0YD24; UPI000387CBD0; K7ES84; Q8N7N1; E9PQV7; UPI0001AE6E98
UniRef50_Q9NP81	M0R2C6; A0A024R0H0; Q9NP81; M0R259; M0QWZ7; B4DXB9
UniRef50_Q13761	B4DT53; Q13761; A0A024RAH4; UPI0000E1E715; Q13761-2
UniRef50_H7C246	H7C246
UniRef50_H0YCF1	H0YCF1
UniRef50_K7EMS1	K7EMS1
UniRef50_H0YCS0	A0A0G2JLB8; H7BY41; A0A0G2JM75; H0YCS0
UniRef50_Q8R104	E9PM75; B7ZA60; B7Z580; B7Z5J1; B7Z777; E9PN58; E9PK80
UniRef50_Q6UXB4	B7ZKQ2; Q6UXB4; Q08G24
UniRef50_F7HL42	Q6ZN99; B4DEN2
UniRef50_Q580R0	Q580R0; A8K7I8
UniRef50_C9J5D8	C9J5D8
UniRef50_E9PP22	E9PP22
UniRef50_U6DEN5	Q6PIN6
UniRef50_G3VV56	A0A096LNU0; B7Z6G0
UniRef50_A0A0C4DH10	A0PJH0; A0A0C4DH10
UniRef50_Q8TAF5	Q8TAF5
UniRef50_A0A087WYC2	A0A087WYC2
UniRef50_L0R4T6	L0R4T6
UniRef50_G1R999	G7NUV2; B4DKB2; E9PJG1
UniRef50_UPI0005D031BD	
UniRef50_O43236	O43236; UPI0005F4D881; O43236-2; F8W9E5; J3QLA8; UPI0000EE6381; J3QRS4; B4DJ62; C9JM82
UniRef50_Q59FR9	Q59FR9
UniRef50_UPI0005D02443	
UniRef50_Q6ZPA5	Q6ZPA5
UniRef50_O95750	O95750; G3RZ13
UniRef50_C9JE72	C9JE72
UniRef50_UPI0005CFF638	
UniRef50_H0VFI2	F5GYR5
UniRef50_S9Y6J3	Q9UH46; UPI0003C82CFE; S9Y6J3
UniRef50_Q8TD81	Q8TD81
UniRef50_E9LUX2	E9LUX2
UniRef50_G7P495	
UniRef50_K7EPJ8	K7EPJ8; UPI00024CF74C; K7EQ90; K7ER75; S4R1Q4
UniRef50_F5H1S4	Q7Z782; F5GXT9; F5H1S4
UniRef50_P01732	Q96QR6; P01732; Q8TAW8; Q6ZVS2; P01732-3
UniRef50_Q9GZY8	C9J846; C9JAF1; A0A024R491; E9PK16; C9JHF5; UPI000387C089; E9PQX8; UPI0003ABA397; UPI0000EE37DA; UPI0003E6887B; H7C433; A0A0A0MS29; Q9GZY8; A0A0D9R481
UniRef50_H0YEV9	H0YEV9
UniRef50_Q9P1I4	Q9P1I4
UniRef50_Q9UPN7	Q96ID3; Q9UPN7; K7EM28; G3QRJ7
UniRef50_Q8BGE4	
UniRef50_Q5T7W0-3	B1ALC2
UniRef50_Q6I6X4	
UniRef50_E9PK62	E9PK62
UniRef50_Q16613	Q9GZS4; UPI0005D0236D; Q16613; Q9H3T0; F1T0I5
UniRef50_Q86YI8	Q86YI8; H2PXX3
UniRef50_O43157	O43157; B3KRL1
UniRef50_K4JUC8	K4JUC8
UniRef50_Q6MZG8	Q6MZG8
UniRef50_I3L4G9	I3L4G9
UniRef50_Q8N5S0	Q8N5S0
UniRef50_A0A0G2JNR6	Q9NSQ1; Q9UHL2; UPI0005D0228B; A0A0G2JNR6; Q9Y5P8-2; A0A0G2JN52; UPI0005D015E7
UniRef50_Q60948	Q9H7H9
UniRef50_I3L328	I3L328
UniRef50_Q8N2E2	Q8N2E2-3; Q8N2E2
UniRef50_G5E9N8	G5E9N8
UniRef50_C9JSC3	C9JSC3
UniRef50_B4DNP3	B4DNP3
UniRef50_Q5XLA6	UPI0005CFF1AF; Q5XLA6
UniRef50_H0YDF1	H0YDF1; H0YCD2
UniRef50_O15061	O15061; A0A075B7B1; H0YL34
UniRef50_M0QYC7	M0QYC7
UniRef50_H0YL85	H0YL85
UniRef50_Q5SS03	E5RH73; G3XAM5
UniRef50_P07902	P07902; Q9UMJ9; G3V3U5; P78433; D3DRM8; Q7KZ63; B2RAT6
UniRef50_H0YJ91	H0YJ91
UniRef50_G7NHC5	A1YET3; G7NHC5; Q9HB13
UniRef50_C9J1J1	C9J1J1; C9JGA6
UniRef50_I3L3C1	I3L3C1
UniRef50_A0A087WU83	A0A087WU83
UniRef50_J9P7T2	
UniRef50_Q9NZG7	UPI0000231C8B; G3QJT0; F5H3L1; H2NG27; Q9NZG7
UniRef50_H2ZSR6	G3V4U7; H0YJL8
UniRef50_Q96E40	Q96E40; A0A024R8F2
UniRef50_S9WI43	
UniRef50_J3KRP4	J3KRP4
UniRef50_UPI0005D00281	
UniRef50_B4E2G6	B4E2G6
UniRef50_Q7RTY8	G3V1W5; UPI0005D031D1; Q7RTY8-3; Q7RTY8; UPI0000419124; UPI00002372C4
UniRef50_F1STS2	Q8NC65; B4DYC0
UniRef50_P35462	A1A4V4; A8K8E4; Q13167; Q9BXX6; P35462; Q9NY31; X5D2G4
UniRef50_F6REP0	B3KS27
UniRef50_A0A096MGC8	Q59G74
UniRef50_A0A0A0MTQ3	A0A0A0MTQ3
UniRef50_Q07817	Q76LT7; H2QK53; G3RY91; H2P1K2; Q07817
UniRef50_Q6WN34-2	
UniRef50_F7IDN4	Q9UQ13-2; F7IDN4; X6RI37
UniRef50_Q16881	UPI000264ECBB; A0A0B4J225; B7Z2S5; E2QRB9; Q16881-5; F8W809; B2R5P6; E9PKD3; E9PQI3; A0A087WSY9; Q16881; A0A087WSW9; A0A024RBK9; E9PLT3; Q16881-7; E9PKI4; E9PRI8
UniRef50_B7Z2Z5	B7Z2Z5
UniRef50_Q05A16	D6RIY2; H0Y8W0; H2RHL3; H2RGB5
UniRef50_K7B0K1	Q6MZX6; H2R9A2; P59190-2; K7B0K1
UniRef50_Q502X0	Q502X0; B8ZZN7
UniRef50_P28335	B3VRF1; B3VRF0; P28335; B3VRE7; B3VRE9; B3VRE5; B3VRF3; B3VRF2; B3VRE6; B3VRF4; B3VRE0; UPI00046B243B; B3VRE8; B3VRE2
UniRef50_F6YK24	Q8WVE9
UniRef50_Q9P2Z4	Q9P2Z4
UniRef50_Q13634-2	D6RER2; D6RIH8
UniRef50_H7C1N6	H7C1N6; UPI0001E6F6F2
UniRef50_Q3V2D1	
